latitude,longitude,hdc_temperature,bmp_temperature,humidity,pressure,mpu_altitude,time
27.64,29.39,21.95,958.63,-0.0,"20/01, 23:18:08"
27.64,29.39,21.95,958.61,-0.0,"20/01, 23:18:12"
27.67,29.34,21.85,958.6,-0.0,"20/01, 23:18:15"
27.64,29.38,21.75,958.66,-0.0,"20/01, 23:18:19"
27.65,29.4,21.66,958.64,0.08,"20/01, 23:18:23"
27.65,29.4,21.56,958.63,-0.0,"20/01, 23:18:27"
27.67,29.41,21.46,958.63,-0.0,"20/01, 23:18:31"
27.65,29.36,21.36,958.57,0.0,"20/01, 23:18:35"
27.68,29.41,21.26,958.61,0.0,"20/01, 23:18:38"
27.64,29.42,21.36,958.63,-0.0,"20/01, 23:18:42"
27.68,29.42,21.36,958.63,0.04,"20/01, 23:18:46"
27.63,29.34,23.04,958.77,0.0,"20/01, 23:41:12"
27.63,29.33,23.04,958.77,-0.0,"20/01, 23:41:16"
27.63,29.29,23.04,958.71,0.0,"20/01, 23:41:19"
27.63,29.34,23.04,958.77,0.0,"20/01, 23:41:23"
28.02,29.99,19.56,958.75,0.01,"20/01, 23:46:53"
28.08,29.99,21.73,958.75,0.0,"20/01, 23:47:07"
28.05,29.97,21.24,958.83,-0.0,"20/01, 23:48:57"
27.78,29.68,19.87,958.79,-0.0,"20/01, 23:53:45"
27.78,29.64,22.83,958.8,0.0,"20/01, 23:59:32"
27.8,29.65,22.93,958.82,0.0,"20/01, 23:59:53"
27.77,29.65,22.93,958.79,0.03,"20/01, 23:59:57"
27.8,29.64,22.83,958.78,0.0,"21/01, 00:00:01"
27.8,29.6,22.73,958.72,0.0,"21/01, 00:00:04"
27.78,29.63,22.53,958.79,-0.0,"21/01, 00:00:08"
27.8,29.66,22.44,958.78,0.01,"21/01, 00:00:54"
27.78,29.64,22.04,958.77,0.0,"21/01, 00:01:32"
27.82,29.64,22.04,958.75,-0.0,"21/01, 00:01:36"
27.8,29.61,22.04,958.7,0.0,"21/01, 00:01:40"
27.83,29.65,22.14,958.77,-0.0,"21/01, 00:01:44"
27.82,29.66,22.24,958.78,0.02,"21/01, 00:01:48"
27.83,29.67,22.24,958.79,0.04,"21/01, 00:01:52"
27.82,29.67,22.04,958.79,-0.0,"21/01, 00:01:56"
-33.36845,-70.690275,26.37,27.95,30.23,957.84,-0.0,"18/01, 13:19:06"
-33.368451666666665,-70.690275,26.38,27.96,30.33,957.81,-0.0,"18/01, 13:19:09"
-33.368451666666665,-70.690275,26.4,28.0,30.73,957.82,0.0,"18/01, 13:19:13"
-33.368451666666665,-70.690275,26.4,28.03,30.53,957.8,-0.02,"18/01, 13:19:17"
-33.368451666666665,-70.690275,26.41,28.02,30.33,957.85,-0.0,"18/01, 13:19:21"
-33.368451666666665,-70.690275,26.41,28.05,30.13,957.84,0.1,"18/01, 13:19:25"
-33.368451666666665,-70.690275,26.43,28.07,30.04,957.83,0.0,"18/01, 13:19:29"
-33.368451666666665,-70.690275,26.44,28.06,30.04,957.83,0.05,"18/01, 13:19:33"
-33.368451666666665,-70.690275,26.47,28.09,30.63,957.83,-0.0,"18/01, 13:19:37"
-33.368451666666665,-70.690275,26.45,28.07,30.63,957.82,0.04,"18/01, 13:19:41"
-33.368451666666665,-70.690275,26.47,28.06,30.13,957.79,0.0,"18/01, 13:19:45"
-33.368451666666665,-70.690275,26.52,28.08,30.02,957.78,0.13,"18/01, 13:19:49"
-33.368451666666665,-70.690275,26.56,28.14,29.92,957.77,0.0,"18/01, 13:19:53"
-33.368451666666665,-70.690275,26.53,28.17,29.92,957.77,0.12,"18/01, 13:19:57"
-33.368451666666665,-70.690275,26.53,28.21,29.72,957.77,-0.0,"18/01, 13:20:01"
-33.368451666666665,-70.690275,26.52,28.19,29.72,957.81,0.16,"18/01, 13:20:05"
-33.368451666666665,-70.690275,26.53,28.15,29.52,957.81,0.0,"18/01, 13:20:10"
-33.368451666666665,-70.690275,26.53,28.18,29.52,957.82,0.02,"18/01, 13:20:13"
-33.368451666666665,-70.690275,26.52,28.21,29.43,957.81,-0.0,"18/01, 13:20:17"
-33.368451666666665,-70.690275,26.52,28.21,29.43,957.82,0.0,"18/01, 13:20:21"
-33.368451666666665,-70.690275,26.55,28.2,29.63,957.84,0.0,"18/01, 13:20:25"
-33.368451666666665,-70.690275,26.52,28.21,29.63,957.82,0.12,"18/01, 13:20:29"
-33.368451666666665,-70.690275,26.52,28.2,29.52,957.83,-0.0,"18/01, 13:20:33"
-33.368453333333335,-70.690275,26.51,28.2,29.43,957.84,0.13,"18/01, 13:20:37"
-33.368453333333335,-70.690275,26.53,28.19,29.43,957.86,0.0,"18/01, 13:20:41"
-33.368453333333335,-70.690275,26.55,28.17,29.43,957.85,0.04,"18/01, 13:20:45"
-33.368453333333335,-70.690275,26.55,28.12,29.52,957.84,0.0,"18/01, 13:20:49"
-33.368453333333335,-70.690275,26.55,28.11,29.72,957.83,0.09,"18/01, 13:20:53"
-33.368453333333335,-70.690275,26.58,28.12,29.82,957.83,-0.0,"18/01, 13:20:57"
-33.368453333333335,-70.690275,26.6,28.14,30.02,957.83,0.13,"18/01, 13:21:01"
-33.368453333333335,-70.690275,26.6,28.13,30.32,957.81,-0.0,"18/01, 13:21:05"
-33.368453333333335,-70.690275,26.53,28.08,29.92,957.79,0.06,"18/01, 13:21:09"
-33.368453333333335,-70.690275,26.45,28.0,29.64,957.83,0.0,"18/01, 13:21:13"
